forum,GovSponsored,UniSponsored,EitherUniGov
OCTF,0,0,0
AASHE,0,0,0
OSCEC,0,1,1
SWCSCE,0,0,0
SCRIS,1,1,1
SCS,1,0,1
GBLSTO,0,1,1
STF,0,1,1
STFC,1,0,1
EVRPW,0,0,0
GCTCSACS,0,0,0
EJWS,0,0,0
STPWS,0,1,1
FFSCS,0,0,0
CCSymp,0,0,0
CCVM,1,0,1
MWMSCW,0,0,0
GLAF,0,0,0
CCAAC,0,0,0
CCRRT,0,0,0
CVW,1,0,1
CIMRWRWS,1,0,1
CSS,0,1,1
SCAC,1,0,1
TSGIC,0,1,1
OPRACT,0,0,0
MORPC-SS,0,0,0
CCNSF,0,1,1
SCYVGKE,1,0,1
NACD-UCCWS,0,0,0
LUHUSAW,1,0,1
OLMSC,0,0,0
ORWAAC,0,0,0
LEWKC,0,0,0
OBSC,0,0,0
VPW,0,0,0
